E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iEcSMS35_1347,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573523,0.0721521381299371,0.302318537121506
iEcolC_1368,303.176_PID,Escherichia,P.Putida,0.812197301991503,0.0268566871573524,0.0721521381299371,0.302318537121506
iZ_1308,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573522,0.0721521381299369,0.302318537121506
iECED1_1282,303.176_PID,Escherichia,P.Putida,0.812185752953508,0.0268566858677649,0.0721513736278043,0.302317427050907
iEC1364_W,303.176_PID,Escherichia,P.Putida,0.867360758068608,0.0268839302572119,0.0711535606569618,0.327714676714178
iJO1366,303.176_PID,Escherichia,P.Putida,0.916424424349855,0.0269094729022434,0.0693348411879062,0.355672527570423
iLF82_1304,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573522,0.072152138129937,0.302318537121505
e_coli_core,303.176_PID,Escherichia,P.Putida,0.684217179271455,0.0267859152258824,0.0728715917665442,0.251502443075106
iJR904,303.176_PID,Escherichia,P.Putida,0.927990759017821,0.0269230089918748,0.0670740068303636,0.372488609672614
iWFL_1372,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573524,0.072152138129937,0.302318537121507
iEcHS_1320,303.176_PID,Escherichia,P.Putida,0.916577000037851,0.026909566018093,0.0693250783145696,0.355783071477621
iECIAI39_1322,303.176_PID,Escherichia,P.Putida,0.833924636331652,0.0268684814292065,0.0716269063929607,0.3128194380155
iECO111_1330,303.176_PID,Escherichia,P.Putida,0.812197301991502,0.0268566871573523,0.0721521381299374,0.302318537121504
iB21_1397,303.176_PID,Escherichia,P.Putida,0.0437256598123216,0.020336716398253,0.0750557177300844,0.0118476828924286
iEC1372_W3110,303.176_PID,Escherichia,P.Putida,0.91644203714462,0.0269094750039367,0.0693356929151335,0.355675021828726
iECIAI1_1343,303.176_PID,Escherichia,P.Putida,0.918190030089453,0.0269105485294485,0.0692218652254487,0.356953648727945
iAPECO1_1312,303.176_PID,Escherichia,P.Putida,0.833800470412891,0.0268684925180346,0.0716139331704002,0.312829650726155
iECABU_c1320,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573524,0.0721521381299369,0.302318537121508
iBWG_1329,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573524,0.072152138129937,0.302318537121507
iE2348C_1286,303.176_PID,Escherichia,P.Putida,0.812197301991502,0.0268566871573524,0.0721521381299372,0.302318537121506
iAF1260,303.176_PID,Escherichia,P.Putida,1.05119721530315,0.0269777647209951,0.0616098183150001,0.460299217323113
iEC042_1314,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573522,0.072152138129937,0.302318537121505
iYS1720,303.176_PID,Salmonella,P.Putida,1.02611374819467,0.0269421566608664,0.0692612627543586,0.39915121752512
iECOK1_1307,303.176_PID,Escherichia,P.Putida,0.83380047041289,0.0268684925180348,0.0716139331704003,0.312829650726157
STM_v1_0,303.176_PID,Salmonella,P.Putida,1.05360283454814,0.0269605352788267,0.0662826128785007,0.428554264189555
iETEC_1333,303.176_PID,Escherichia,P.Putida,0.8121973019915,0.0268566871573522,0.0721521381299375,0.302318537121502
iEC55989_1330,303.176_PID,Escherichia,P.Putida,0.812197301991503,0.0268566871573524,0.0721521381299371,0.302318537121506
iEC1368_DH5a,303.176_PID,Escherichia,P.Putida,0.916442037144621,0.0269094750039365,0.0693356929151338,0.355675021828722
iECB_1328,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573522,0.072152138129937,0.302318537121504
iECD_1391,303.176_PID,Escherichia,P.Putida,0.0437256598123216,0.0203367163982536,0.0750557177300844,0.011847682892429
iG2583_1286,303.176_PID,Escherichia,P.Putida,0.745573020799805,0.0268031454461469,0.0761991775476877,0.262256139243942
iY75_1357,303.176_PID,Escherichia,P.Putida,0.812197301991505,0.0268566871573522,0.0721521381299369,0.302318537121506
iECNA114_1301,303.176_PID,Escherichia,P.Putida,0.812197301991505,0.0268566871573523,0.0721521381299368,0.302318537121507
iECBD_1354,303.176_PID,Escherichia,P.Putida,0.0548612961954703,0.0203367153478528,0.0941701961554721,0.0118476822804907
iAF1260b,303.176_PID,Escherichia,P.Putida,1.05119721530315,0.0269777647209951,0.0616098183150002,0.460299217323112
iEcE24377_1341,303.176_PID,Escherichia,P.Putida,0.812197301991503,0.0268566871573524,0.0721521381299372,0.302318537121507
iECSE_1348,303.176_PID,Escherichia,P.Putida,0.812197301991503,0.0268566871573522,0.0721521381299371,0.302318537121505
iECSP_1301,303.176_PID,Escherichia,P.Putida,0.812197301991504,0.0268566871573525,0.072152138129937,0.302318537121508
