Sanger_ID,Condition,R_F
259,Model 1,0.353073684157294
269,Model 1,0.245409942266455
270,Model 1,0.326666278750357
273,Model 1,0.305880526539381
276,Model 1,0.311249165491599
277,Model 1,0.31471211846396
278,Model 1,0.349380195669123
280,Model 1,0.228146695159632
283,Model 1,0.309572172193612
284,Model 1,0.19015103995648
286,Model 1,0.315479234611081
287,Model 1,0.277291468089532
160,Model 1,0.282779163173904
288,Model 1,0.26292241855035
289,Model 1,0.31371578290093
165,Model 1,0.333968011666514
295,Model 1,0.287079855029854
169,Model 1,0.294585684697182
303,Model 1,0.247783420998183
305,Model 1,0.232315433923125
435,Model 1,0.329144179938767
308,Model 1,0.221270307416399
438,Model 1,0.261662243370738
439,Model 1,0.351517330592673
440,Model 1,0.321456207296763
310,Model 1,0.210655835820623
442,Model 1,0.350208949090006
311,Model 1,0.268159004922968
317,Model 1,0.240358926041988
320,Model 1,0.226145009463945
448,Model 1,0.20193246012707
322,Model 1,0.203763822514412
327,Model 1,0.186367927172601
458,Model 1,0.211966760704106
332,Model 1,0.305504782225399
461,Model 1,0.21966417361446
460,Model 1,0.274626000554327
338,Model 1,0.177687131927389
340,Model 1,0.220186214567262
343,Model 1,0.287812118154999
344,Model 1,0.285271019885768
345,Model 1,0.222713128936161
346,Model 1,0.228754824292927
348,Model 1,0.321941744573393
356,Model 1,0.213470781693864
358,Model 1,0.251734564187761
360,Model 1,0.200816233611808
364,Model 1,0.19429388860178
259,Model 2,0.532178434658846
269,Model 2,0.294282527182547
270,Model 2,0.548956592060191
273,Model 2,0.357307733945593
276,Model 2,0.564920574567474
277,Model 2,0.601521661160726
278,Model 2,0.574091497298325
280,Model 2,0.27724741976042
283,Model 2,0.569324376516378
284,Model 2,0.304515888720107
286,Model 2,0.493876482691751
287,Model 2,0.407843725844151
160,Model 2,0.525042720803078
288,Model 2,0.455123822595531
289,Model 2,0.502327560394436
165,Model 2,0.570821659027657
295,Model 2,0.403178442214873
169,Model 2,0.460912029125908
303,Model 2,0.296381061514871
305,Model 2,0.279896680310683
435,Model 2,0.561194257756079
308,Model 2,0.254120633885819
438,Model 2,0.405639516896731
439,Model 2,0.578246113910258
440,Model 2,0.371840441568525
310,Model 2,0.276558694682753
442,Model 2,0.595675547700794
311,Model 2,0.347307359116313
317,Model 2,0.297781683061655
320,Model 2,0.270270620793465
448,Model 2,0.264223019574244
322,Model 2,0.265538622874011
327,Model 2,0.21822815708234
458,Model 2,0.325359208996552
332,Model 2,0.47241351911852
461,Model 2,0.335379281126434
460,Model 2,0.426873330683044
338,Model 2,0.214692068925349
340,Model 2,0.332564432738321
343,Model 2,0.464106541383809
344,Model 2,0.464164860026461
345,Model 2,0.362556907801147
346,Model 2,0.359820252789201
348,Model 2,0.514022995938954
356,Model 2,0.355920433956051
358,Model 2,0.369233157614292
360,Model 2,0.2359768976716
364,Model 2,0.320123033414966
259,Model 3,0.742449178448306
269,Model 3,0.341340422360423
270,Model 3,0.832041964995146
273,Model 3,0.405749638148226
276,Model 3,0.906704097297468
277,Model 3,1.00773659298119
278,Model 3,0.858689356231876
280,Model 3,0.324958635465765
283,Model 3,0.922894984831721
284,Model 3,0.432116645441365
286,Model 3,0.706216939366709
287,Model 3,0.55280627406894
160,Model 3,0.849466220663768
288,Model 3,0.694217766986969
289,Model 3,0.73089510382271
165,Model 3,0.878447026097062
295,Model 3,0.527989903506171
169,Model 3,0.656458640304372
303,Model 3,0.342939661428152
305,Model 3,0.325515823268962
435,Model 3,0.861002474352211
308,Model 3,0.284265958242318
438,Model 3,0.570511275378481
439,Model 3,0.866099010952552
440,Model 3,0.41873745692346
310,Model 3,0.341809061680518
442,Model 3,0.916838263936974
311,Model 3,0.42649774050078
317,Model 3,0.353816176654265
320,Model 3,0.312406436634678
448,Model 3,0.325559700878892
322,Model 3,0.32620602383767
327,Model 3,0.247969685530054
458,Model 3,0.450491037828642
332,Model 3,0.667928540311031
461,Model 3,0.463270531055812
460,Model 3,0.602935561719915
338,Model 3,0.250149647368212
340,Model 3,0.455936471641135
343,Model 3,0.675501360730536
344,Model 3,0.679867674416496
345,Model 3,0.524042202627103
346,Model 3,0.508381845412218
348,Model 3,0.747337007029989
356,Model 3,0.521809170618869
358,Model 3,0.49781104114262
360,Model 3,0.268860571820472
364,Model 3,0.463352888345263
