,Model,R_F,Glucose_Aerobic,Glucose_Anaerobic,Lactate_Aerobic,Lactate_Anaerobic,Succinate_Aerobic,Succinate_Anaerobic,Acetate_Aerobic,Acetate_Anaerobic
0,iEcSMS35_1347,F,0.9824784386660026,0.2415488066367578,0.42851146152875874,,0.5140762190734298,,0.24722581236302985,
1,iEcolC_1368,F,0.982478438666007,0.24154880663675715,0.42851146152875874,,0.5140762190734294,,0.2472258123630305,
2,iZ_1308,F,0.9824784386660067,0.24154880663675668,0.4285114615287583,,0.5140762190734306,,0.2472258123630307,
3,iECED1_1282,F,0.9824634433768059,0.24154880663675624,0.42850472126898664,,0.5140693679045703,,0.2472220231497328,
4,iEC1364_W,F,0.9853648657315416,0.24228419831583467,0.43007004548569244,,0.49357768057914686,,0.24773001163256672,
5,iJO1366,F,0.9823718127269763,0.2412580101368622,0.428467527714872,,0.4924842152416085,,0.2471988686834434,
6,iLF82_1304,F,0.9824784386660101,0.2415488066367575,0.42851146152875735,,0.5140762190734285,,0.24722581236303068,
7,e_coli_core,F,0.87392150696843,0.2111406525721166,0.35031112506074075,,0.39756301542776246,,0.17333858447778644,
8,iJR904,F,0.921948095050464,0.21617284258227853,0.3802132288576947,,0.43287109031981225,,0.1996358759772463,
9,iWFL_1372,F,0.9824784386660044,0.2415488066367567,0.42851146152875835,,0.514076219073432,,0.247225812363031,
10,iEcHS_1320,F,0.9824784386660083,0.24154880663675435,0.4285114615287598,,0.5140762190734284,,0.24722581236303146,
11,iECIAI39_1322,F,0.982721153359221,0.24160866666099676,0.4286221444488286,,0.5142056849365566,,0.2472902467655645,
12,iECO111_1330,F,0.9824784386660074,0.24154880663675704,0.42851146152875863,,0.5140762190734296,,0.24722581236303126,
13,iB21_1397,F,0.9756145115851304,0.24154880663675732,0.4285114615287595,,0.5140762190734299,,0.24722581236303076,
14,iEC1372_W3110,F,0.9823963461342993,0.24126102988644385,0.428478853250778,,0.49249686808896803,,0.24720539340065095,
15,iECIAI1_1343,F,0.9814697496032833,0.24096155249862883,0.4281415857039279,,0.5135281943675888,,0.24699898620424532,
16,iAPECO1_1312,F,0.9824784386660081,0.2415488066367558,0.42851146152875835,,0.5140762190734296,,0.24722581236303068,
