contig-100_0_0,K09933
contig-100_0_1,K14062
contig-100_0_2,K06950
contig-100_0_3,K00558
contig-100_0_4,K07458
contig-100_0_5,
contig-100_0_6,K09781
contig-100_0_7,
contig-100_0_8,
contig-100_0_9,
contig-100_0_10,K07781
contig-100_0_11,K02421
contig-100_0_12,K02420
contig-100_0_13,K02419
contig-100_0_14,K02418
contig-100_0_15,K02417
contig-100_0_16,K02416
contig-100_0_17,K02415
contig-100_0_18,K02414
contig-100_0_19,K02413
contig-100_0_20,K02412
contig-100_0_21,K02411
contig-100_0_22,K02410
contig-100_0_23,K02409
contig-100_0_24,K02408
contig-100_0_25,
contig-100_0_26,K07112
contig-100_0_27,
contig-100_0_28,K01176
contig-100_0_29,
contig-100_0_30,K02422
contig-100_0_31,K02407
contig-100_0_32,K02406
contig-100_0_33,K02405
contig-100_0_34,K02425
contig-100_0_35,K02424
contig-100_0_36,K05396
contig-100_0_37,K10009
contig-100_0_38,K10010
contig-100_0_39,K07782
contig-100_0_40,
contig-100_0_41,K07689
contig-100_0_42,K03703
contig-100_0_43,K00995
contig-100_0_44,
contig-100_0_45,
contig-100_0_46,
contig-100_0_47,
contig-100_0_48,K08363
contig-100_0_49,K08364
contig-100_0_50,K07039
contig-100_0_51,K03834
contig-100_0_52,
contig-100_0_53,K02217
contig-100_0_54,
contig-100_0_55,
contig-100_0_56,
contig-100_0_57,
contig-100_0_58,K02255
contig-100_0_59,
contig-100_0_60,K10537
contig-100_0_61,K10539
contig-100_0_62,K10538
contig-100_0_63,K01087
contig-100_0_64,K00697
contig-100_0_65,K14064
contig-100_0_66,
contig-100_0_67,K02403
contig-100_0_68,K02402
contig-100_0_69,K02556
contig-100_0_70,K02557
contig-100_0_71,K03407
contig-100_0_72,K03408
contig-100_0_73,
contig-100_0_74,K05875
contig-100_0_75,K05877
contig-100_0_76,K00575
contig-100_0_77,K03412
contig-100_0_78,K03413
contig-100_0_79,K03414
contig-100_0_80,K02401
contig-100_0_81,K02400
contig-100_0_82,K03516
contig-100_0_83,K15532
contig-100_0_84,K05515
contig-100_0_85,K01887
contig-100_0_86,K09907
contig-100_0_87,K06201
contig-100_0_88,K15257
contig-100_0_89,K15256
contig-100_0_90,K07136
contig-100_0_91,
contig-100_0_92,
contig-100_0_93,K01876
contig-100_0_94,K08310
contig-100_0_95,
contig-100_0_96,K01159
contig-100_0_97,K03550
contig-100_0_98,K03551
contig-100_0_99,K09816
contig-100_0_100,K09817
contig-100_0_101,K09815
contig-100_0_102,K19304
contig-100_0_103,K02560
contig-100_0_104,K00873
contig-100_0_105,K19337
contig-100_0_106,K00036
contig-100_0_107,K01690
contig-100_0_108,K01625
contig-100_0_109,K08289
contig-100_0_110,K09918
contig-100_0_111,
contig-100_0_112,
contig-100_0_113,K01354
contig-100_0_114,K10857
contig-100_0_115,
contig-100_0_116,K02345
