locus,1042876.5_PID,1081940.5_PID,1150601.3_PID,1193146.3_PID,1193499.3_PID,1196325.3_PID,1211579.3_PID,1215087.7_PID,1215088.3_PID,1218169.3_PID,1240350.3_PID,1331671.3_PID,1399145.3_PID,1410521.3_PID,1410669.4_PID,1449986.3_PID,160488.4.RefSeq_PID,160488.4_PID,231023.4_PID,303.139_PID,303.140_PID,303.142_PID,303.167_PID,303.169_PID,303.170_PID,303.171_PID,303.172_PID,303.175_PID,303.176_PID,303.177_PID,303.178_PID,303.179_PID,303.180_PID,303.187_PID,303.188_PID,303.189_PID,303.192_PID,303.199_PID,303.200_PID,303.203_PID,303.204_PID,303.209_PID,303.212_PID,303.214_PID,303.215_PID,303.234_PID,303.237_PID,303.397_PID,303.398_PID,303.409_PID,303.410_PID,303.411_PID,303.424_PID,303.425_PID,303.426_PID,303.427_PID,303.429_PID,303.430_PID,303.431_PID,303.432_PID,303.447_PID,303.449_PID,303.450_PID,303.451_PID,303.452_PID,303.453_PID,303.473_PID,303.486_PID,303.487_PID,303.488_PID,303.489_PID,303.490_PID,303.491_PID,303.492_PID,303.493_PID,303.529_PID,303.531_PID,303.532_PID,303.533_PID,303.534_PID,303.535_PID,351746.6_PID,390235.5_PID,76869.5_PID,931281.3_PID,KT2440.csv_PID
PP_0001,97.586,100,100,100,100,100,98.208,100,97.586,,95.517,98.621,96.207,97.241,98.621,97.491,100,100,100,100,86.38,100,97.586,98.621,88.966,95.517,86.897,100,100,100,97.586,97.931,100,88.966,78.966,94.483,94.483,98.621,93.793,88.621,96.897,93.793,93.793,93.793,93.793,97.931,85.862,97.931,86.552,86.897,95.517,100,100,98.621,94.828,100,98.276,100,100,100,98.621,100,85.862,96.552,96.552,95.517,100,100,94.138,100,100,100,95.862,95.862,99.655,98.621,95.517,100,97.241,98.621,95.517,100,93.907,97.931,100,100
PP_0002,98.8,99.6,100,100,100,100,99.62,99.62,98.8,,97.2,98.859,96.4,99.24,98.859,99.62,100,100,100,100,93.249,100,99.24,99.62,94.4,98.479,91.154,100,100,100,99.24,99.24,100,94.4,83.846,98.479,98.479,99.62,98.479,95.437,99.24,98.479,98.479,98.479,98.479,99.24,92.692,99.24,92.308,91.154,98.479,100,100,99.62,98.099,100,99.24,100,100,100,98.859,100,91.923,98.479,98.479,97.719,99.62,100,96.198,100,100,100,97.338,97.338,100,99.62,98.479,100,99.24,99.62,98.479,99.6,98,99.24,99.2,100
PP_0003,96.759,100,98.611,100,99.537,100,97.685,98.611,96.296,96.569,92.593,96.759,93.056,96.759,96.759,97.685,100,100,99.537,100,87.037,100,96.296,97.685,87.5,97.222,85.648,100,99.537,99.074,96.296,95.833,100,87.963,73.832,93.056,93.056,97.685,93.519,87.5,97.685,93.056,93.056,93.056,93.056,98.611,85.185,98.611,83.333,85.648,97.685,99.074,99.074,97.685,92.593,100,97.222,100,100,99.537,96.759,100,85.648,94.444,94.444,93.981,100,100,88.889,99.074,99.074,99.074,95.833,95.833,100,97.685,96.759,99.537,97.685,97.685,96.759,100,96.759,98.611,98.611,100
PP_0004,98.889,99.524,99.683,99.524,99.365,99.524,98.889,99.683,98.889,,95.873,98.571,95.707,98.413,98.571,98.889,100,100,99.365,99.206,93.492,99.524,98.889,98.889,92.698,97.778,90.032,99.841,99.683,99.365,98.889,98.413,99.841,92.857,90.116,96.032,96.032,98.73,94.762,93.492,99.206,94.921,94.921,94.921,94.921,98.889,90.19,98.889,90.317,90.032,97.937,99.683,99.365,98.73,97.143,99.841,98.73,99.524,99.524,99.365,98.571,99.524,90.19,98.095,97.937,95.873,99.524,99.524,96.032,99.365,99.365,99.365,97.937,97.937,99.524,98.73,97.778,99.683,99.206,98.889,97.778,99.206,97.778,98.889,99.683,100
PP_0005,97.368,99.781,100,99.781,99.781,100,98.465,100,97.149,,92.763,98.465,92.982,97.588,98.465,98.465,100,100,99.781,100,91.886,99.781,97.368,98.684,90.132,97.149,86.404,100,100,98.465,97.149,98.904,100,90.132,82.237,93.421,93.421,98.684,93.86,89.693,96.272,93.64,93.64,93.64,93.64,98.026,86.623,98.026,86.404,86.404,97.368,100,98.684,98.246,92.763,100,98.246,99.781,99.781,99.342,98.465,99.781,86.184,96.053,96.272,92.982,99.781,99.781,90.789,98.684,98.684,98.684,96.711,96.711,99.781,98.465,97.149,100,96.491,98.465,97.149,100,96.711,98.026,100,100
PP_0006,95,99.821,100,99.821,99.821,100,98.571,100,95.536,,93.214,98.571,92.527,95.179,98.571,98.393,100,100,99.643,99.821,90,99.821,94.821,98.571,87.857,97.321,81.786,100,99.821,99.286,95.536,95.714,100,87.857,70.307,93.929,93.929,98.571,93.571,88.214,97.321,93.75,93.75,93.75,93.75,98.75,81.607,98.75,,81.786,95.536,100,99.286,98.571,93.75,100,98.393,99.821,99.821,99.821,98.571,99.821,82.321,97.5,97.5,93.393,100,99.821,93.048,99.286,99.286,99.286,95.536,95.536,99.821,98.571,97.321,99.821,97.321,98.571,97.321,99.821,97.321,98.75,100,100
PP_0007,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.765,98.765,97.531,93.827,100,97.531,98.765,98.765,,,98.765,87.654,96.296,96.296,,98.765,,,,,,,,98.765,,90.123,98.765,,,,98.765,90.123,,,100
PP_0008,99.254,100,100,100,100,100,,100,98.507,98.507,94.776,,95.522,98.507,,,100,100,100,100,,100,99.254,99.254,,96.269,84.211,100,100,100,98.507,98.507,100,,76.744,93.284,93.284,99.254,94.03,,97.015,94.03,93.284,93.284,93.284,97.761,81.955,,,84.211,95.522,99.254,100,100,94.776,100,98.507,100,100,100,98.507,100,82.707,96.269,96.269,,100,100,93.284,100,100,100,96.269,96.269,100,100,96.269,100,97.015,100,,100,96.269,98.507,100,100
PP_0009,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.727,100,100,100,97.727,100,,100,100,100,100,100,100,97.727,88.636,100,100,100,100,,100,100,100,100,100,100,,,95.455,,100,100,100,100,100,100,100,100,100,100,100,100,95.455,100,100,100,100,100,97.727,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0010,95.695,99.603,100,99.603,99.603,99.603,92.593,99.802,96.457,,92.353,94.932,92.941,96.471,94.932,95.322,100,99.799,99.603,99.603,91.365,99.603,95.906,92.816,91.929,92.578,88.716,100,100,99.407,96.471,96.471,100,91.929,84.302,93.529,93.529,94.747,91.977,91.211,94.563,91.977,91.781,91.977,91.977,97.456,89.216,97.456,88.386,88.716,92.398,100,99.407,92.816,92.383,100,95.34,99.802,99.802,99.802,95.146,99.802,89.391,95.01,95.01,92.773,99.802,99.802,91.569,99.407,99.407,99.407,92.008,92.008,99.802,92.816,92.578,100,,92.816,92.578,99.603,92.745,97.25,99.802,100
