contig-100_0_0,K11891
contig-100_0_1,
contig-100_0_2,K11896
contig-100_0_3,K11895
contig-100_0_4,K11906
contig-100_0_5,K11905
contig-100_0_6,K01198
contig-100_0_7,K03292
contig-100_0_8,K02024
contig-100_0_9,
contig-100_0_10,
contig-100_0_11,K00574
contig-100_0_12,K09701
contig-100_0_13,K06954
contig-100_0_14,
contig-100_0_15,
contig-100_0_16,K21089
contig-100_0_17,
contig-100_0_18,
contig-100_0_19,K06889
contig-100_0_20,
contig-100_0_21,K03790
contig-100_0_22,
contig-100_0_23,K02371
contig-100_0_24,
contig-100_0_25,K18900
contig-100_0_26,
contig-100_0_27,K08996
contig-100_0_28,
contig-100_0_29,
contig-100_0_30,
contig-100_0_31,K03503
contig-100_0_32,K03502
contig-100_0_33,
contig-100_0_34,
contig-100_0_35,K16074
contig-100_0_36,K05591
contig-100_0_37,K14058
contig-100_0_38,K08566
contig-100_0_39,
contig-100_0_40,K14061
contig-100_0_41,
contig-100_0_42,K14062
contig-100_0_43,K03737
contig-100_0_44,
contig-100_0_45,
contig-100_0_46,
contig-100_0_47,
contig-100_0_48,
contig-100_0_49,
contig-100_0_50,
contig-100_0_51,K03668
contig-100_0_52,K03778
contig-100_0_53,
contig-100_0_54,
contig-100_0_55,
contig-100_0_56,K09978
contig-100_0_57,K14063
contig-100_0_58,K00146
contig-100_0_59,
contig-100_0_60,
contig-100_0_61,
contig-100_0_62,
contig-100_0_63,
contig-100_0_64,
contig-100_0_65,K09912
contig-100_0_66,
contig-100_0_67,
contig-100_0_68,
contig-100_0_69,
contig-100_0_70,
contig-100_0_71,
contig-100_0_72,K02532
contig-100_0_73,K01190
contig-100_0_74,
contig-100_0_75,
contig-100_0_76,K21973
contig-100_0_77,
contig-100_0_78,K00549
contig-100_0_79,
contig-100_0_80,
contig-100_0_81,
contig-100_0_82,
contig-100_0_83,K13633
contig-100_0_84,
contig-100_0_85,K00549
contig-100_0_86,K11959
contig-100_0_87,K11960
contig-100_0_88,K11961
contig-100_0_89,K11962
contig-100_0_90,K11963
contig-100_0_91,
contig-100_0_92,
contig-100_0_93,K15268
contig-100_0_94,K13630
contig-100_0_95,K13632
contig-100_0_96,K03712
contig-100_0_97,K05595
contig-100_0_98,K08159
contig-100_0_99,
contig-100_0_100,
contig-100_0_101,
contig-100_0_102,
contig-100_0_103,
contig-100_0_104,
contig-100_0_105,K01714
contig-100_0_106,K19954
contig-100_0_107,K22129
contig-100_0_108,K22024
contig-100_0_109,
contig-100_0_110,K00016
contig-100_0_111,K03829
contig-100_0_112,
contig-100_0_113,K08324
contig-100_0_114,K01425
contig-100_0_115,
contig-100_0_116,
contig-100_0_117,
contig-100_0_118,K00041
contig-100_0_119,
contig-100_0_120,
contig-100_0_121,K00598
contig-100_0_122,K06897
contig-100_0_123,
contig-100_0_124,K07810
contig-100_0_125,
contig-100_0_126,K07798
contig-100_0_127,K07787
contig-100_0_128,
contig-100_0_129,
contig-100_0_130,
contig-100_0_131,
contig-100_0_132,
contig-100_0_133,
contig-100_0_134,
contig-100_0_135,
contig-100_0_136,
contig-100_0_137,K00459
contig-100_0_138,K02072
contig-100_0_139,K02071
contig-100_0_140,K02073
contig-100_0_141,
contig-100_0_142,
contig-100_0_143,
contig-100_0_144,
contig-100_0_145,K16960
contig-100_0_146,K16958
contig-100_0_147,K16959
contig-100_0_148,K16957
contig-100_0_149,
contig-100_0_150,
contig-100_0_151,K00286
contig-100_0_152,
contig-100_0_153,
contig-100_0_154,K07486
contig-100_0_155,K01255
contig-100_0_156,
contig-100_0_157,K02761
contig-100_0_158,
contig-100_0_159,
contig-100_0_160,K02013
contig-100_0_161,K02016
contig-100_0_162,K02015
contig-100_0_163,
contig-100_0_164,
contig-100_0_165,
